44. Bos taurus isolate L1 Dominette 01449 registration number 42190680 breed Hereford chromosome 11, ARS-UCD1.2, whole genome shotgun sequence
52. Bos taurus isolate L1 Dominette 01449 registration number 42190680 breed Hereford chromosome 7, ARS-UCD1.2, whole genome shotgun sequence
76. Bos taurus isolate L1 Dominette 01449 registration number 42190680 breed Hereford chromosome 5, ARS-UCD1.2, whole genome shotgun sequence
161. Bos taurus isolate L1 Dominette 01449 registration number 42190680 breed Hereford chromosome 22, ARS-UCD1.2, whole genome shotgun sequence
219. Bos taurus interleukin 6 (IL6), mRNA
54114. PREDICTED: Bos indicus x Bos taurus interleukin 15 receptor subunit alpha (IL15RA), transcript variant X1, mRNA
54115. PREDICTED: Bos indicus x Bos taurus interleukin 17D (IL17D), mRNA
54116. PREDICTED: Bos indicus x Bos taurus interleukin 1 receptor antagonist (IL1RN), transcript variant X3, mRNA
54117. PREDICTED: Bos indicus x Bos taurus interleukin 1 receptor antagonist (IL1RN), transcript variant X2, mRNA
54118. PREDICTED: Bos indicus x Bos taurus interleukin 1 receptor antagonist (IL1RN), transcript variant X1, mRNA
54119. PREDICTED: Bos indicus x Bos taurus interleukin 1 beta (IL1B), mRNA
54120. PREDICTED: Bos indicus x Bos taurus interleukin 1 alpha (IL1A), mRNA
54121. PREDICTED: Bos indicus x Bos taurus interleukin 18 receptor accessory protein (IL18RAP), mRNA
54122. PREDICTED: Bos indicus x Bos taurus interleukin 18 receptor 1 (IL18R1), mRNA
54123. PREDICTED: Bos indicus x Bos taurus interleukin 1 receptor like 1 (IL1RL1), transcript variant X6, mRNA
54124. PREDICTED: Bos indicus x Bos taurus interleukin 1 receptor like 1 (IL1RL1), transcript variant X5, mRNA
54125. PREDICTED: Bos indicus x Bos taurus interleukin 1 receptor like 1 (IL1RL1), transcript variant X4, mRNA
54126. PREDICTED: Bos indicus x Bos taurus interleukin 1 receptor like 1 (IL1RL1), transcript variant X3, mRNA
54127. PREDICTED: Bos indicus x Bos taurus interleukin 1 receptor like 1 (IL1RL1), transcript variant X2, mRNA
54128. PREDICTED: Bos indicus x Bos taurus interleukin 1 receptor like 1 (IL1RL1), transcript variant X1, mRNA
54129. PREDICTED: Bos indicus x Bos taurus interleukin 1 receptor like 2 (IL1RL2), mRNA
54130. PREDICTED: Bos indicus x Bos taurus interleukin 1 receptor type 1 (IL1R1), transcript variant X11, mRNA
54131. PREDICTED: Bos indicus x Bos taurus interleukin 1 receptor type 1 (IL1R1), transcript variant X10, mRNA
54132. PREDICTED: Bos indicus x Bos taurus interleukin 1 receptor type 1 (IL1R1), transcript variant X9, mRNA
54133. PREDICTED: Bos indicus x Bos taurus interleukin 1 receptor type 1 (IL1R1), transcript variant X8, mRNA
54134. PREDICTED: Bos indicus x Bos taurus interleukin 1 receptor type 1 (IL1R1), transcript variant X7, mRNA
54135. PREDICTED: Bos indicus x Bos taurus interleukin 1 receptor type 1 (IL1R1), transcript variant X6, mRNA
54136. PREDICTED: Bos indicus x Bos taurus interleukin 1 receptor type 1 (IL1R1), transcript variant X5, mRNA
54137. PREDICTED: Bos indicus x Bos taurus interleukin 1 receptor type 1 (IL1R1), transcript variant X4, mRNA
54138. PREDICTED: Bos indicus x Bos taurus interleukin 1 receptor type 1 (IL1R1), transcript variant X3, mRNA
54139. PREDICTED: Bos indicus x Bos taurus interleukin 1 receptor type 1 (IL1R1), transcript variant X2, mRNA
54140. PREDICTED: Bos indicus x Bos taurus interleukin 1 receptor type 1 (IL1R1), transcript variant X1, mRNA
54141. PREDICTED: Bos indicus x Bos taurus interleukin 1 receptor type 2 (IL1R2), transcript variant X2, mRNA
54142. PREDICTED: Bos indicus x Bos taurus interleukin 1 receptor type 2 (IL1R2), transcript variant X1, mRNA
54143. PREDICTED: Bos indicus x Bos taurus interleukin 36 gamma (IL36G), mRNA
54144. PREDICTED: Bos indicus x Bos taurus interleukin 1 family member 10 (IL1F10), mRNA
54145. PREDICTED: Bos indicus x Bos taurus interleukin 36 receptor antagonist (IL36RN), mRNA
54146. PREDICTED: Bos indicus x Bos taurus interleukin 36 beta (IL36B), mRNA
54147. PREDICTED: Bos indicus x Bos taurus interleukin 37 (IL37), transcript variant X3, mRNA
54148. PREDICTED: Bos indicus x Bos taurus interleukin 37 (IL37), transcript variant X2, mRNA
54149. PREDICTED: Bos indicus x Bos taurus interleukin 37 (IL37), transcript variant X1, mRNA
54150. PREDICTED: Bos indicus x Bos taurus interleukin 25 (IL25), mRNA
54151. PREDICTED: Bos indicus x Bos taurus interleukin 20 receptor subunit beta (IL20RB), mRNA
54152. PREDICTED: Bos indicus x Bos taurus interleukin 12A (IL12A), mRNA
54153. PREDICTED: Bos indicus x Bos taurus interleukin 1 receptor accessory protein (IL1RAP), transcript variant X7, mRNA
54154. PREDICTED: Bos indicus x Bos taurus interleukin 1 receptor accessory protein (IL1RAP), transcript variant X6, mRNA
54155. PREDICTED: Bos indicus x Bos taurus interleukin 1 receptor accessory protein (IL1RAP), transcript variant X5, mRNA
54156. PREDICTED: Bos indicus x Bos taurus interleukin 1 receptor accessory protein (IL1RAP), transcript variant X4, mRNA
54157. PREDICTED: Bos indicus x Bos taurus interleukin 1 receptor accessory protein (IL1RAP), transcript variant X3, mRNA
54158. PREDICTED: Bos indicus x Bos taurus interleukin 1 receptor accessory protein (IL1RAP), transcript variant X2, mRNA
54159. PREDICTED: Bos indicus x Bos taurus interleukin 1 receptor accessory protein (IL1RAP), transcript variant X1, mRNA
54160. PREDICTED: Bos indicus x Bos taurus interleukin 10 receptor subunit beta (IL10RB), transcript variant X2, mRNA
54161. PREDICTED: Bos indicus x Bos taurus interleukin 10 receptor subunit beta (IL10RB), transcript variant X1, mRNA
56596. PREDICTED: Bos taurus interleukin 1 receptor accessory protein like 2 (IL1RAPL2), transcript variant X5, mRNA
56597. PREDICTED: Bos taurus interleukin 1 receptor accessory protein like 2 (IL1RAPL2), transcript variant X4, mRNA
56598. PREDICTED: Bos taurus interleukin 1 receptor accessory protein like 2 (IL1RAPL2), transcript variant X3, mRNA
56599. PREDICTED: Bos taurus interleukin 1 receptor accessory protein like 2 (IL1RAPL2), transcript variant X2, mRNA
56600. PREDICTED: Bos taurus interleukin 1 receptor accessory protein like 2 (IL1RAPL2), transcript variant X1, mRNA
56601. PREDICTED: Bos taurus interleukin 1 receptor accessory protein like 1 (IL1RAPL1), mRNA
56602. PREDICTED: Bos taurus interleukin 22 receptor subunit alpha 2 (IL22RA2), transcript variant X1, mRNA
56603. PREDICTED: Bos taurus interleukin 9 (IL9), mRNA
56604. PREDICTED: Bos taurus interleukin 12 receptor subunit beta 1 (IL12RB1), transcript variant X2, mRNA
56605. PREDICTED: Bos taurus interleukin 12 receptor subunit beta 1 (IL12RB1), transcript variant X1, mRNA
56606. PREDICTED: Bos taurus interleukin 2 receptor subunit beta (IL2RB), mRNA
56607. PREDICTED: Bos taurus interleukin 17 receptor E like (IL17REL), transcript variant X6, mRNA
56608. PREDICTED: Bos taurus interleukin 17 receptor E like (IL17REL), transcript variant X5, mRNA
56609. PREDICTED: Bos taurus interleukin 17 receptor E like (IL17REL), transcript variant X4, mRNA
56610. PREDICTED: Bos taurus interleukin 17 receptor E like (IL17REL), transcript variant X3, mRNA
56611. PREDICTED: Bos taurus interleukin 17 receptor E like (IL17REL), transcript variant X2, mRNA
56612. PREDICTED: Bos taurus interleukin 17 receptor E like (IL17REL), transcript variant X1, mRNA
56613. PREDICTED: Bos taurus interleukin 17 receptor A (IL17RA), transcript variant X3, mRNA
56614. PREDICTED: Bos taurus interleukin 17 receptor A (IL17RA), transcript variant X2, mRNA
56615. PREDICTED: Bos taurus interleukin 17 receptor A (IL17RA), transcript variant X1, mRNA
56616. PREDICTED: Bos taurus interleukin 3 receptor subunit alpha (IL3RA), transcript variant X2, mRNA
56617. PREDICTED: Bos taurus interleukin 3 receptor subunit alpha (IL3RA), transcript variant X1, mRNA
56618. PREDICTED: Bos taurus interleukin 32-like (LOC100139916), transcript variant X2, mRNA
56619. PREDICTED: Bos taurus interleukin 32-like (LOC100139916), transcript variant X1, mRNA
56620. PREDICTED: Bos taurus interleukin 32 (IL32), transcript variant X3, mRNA
56621. PREDICTED: Bos taurus interleukin 32 (IL32), transcript variant X2, mRNA
56622. PREDICTED: Bos taurus interleukin 32 (IL32), transcript variant X1, mRNA
56623. PREDICTED: Bos taurus interleukin 9 receptor (IL9R), transcript variant X8, mRNA
56624. PREDICTED: Bos taurus interleukin 9 receptor (IL9R), transcript variant X7, mRNA
56625. PREDICTED: Bos taurus interleukin 9 receptor (IL9R), transcript variant X5, mRNA
56626. PREDICTED: Bos taurus interleukin 9 receptor (IL9R), transcript variant X4, mRNA
56627. PREDICTED: Bos taurus interleukin 9 receptor (IL9R), transcript variant X3, mRNA
56628. PREDICTED: Bos taurus interleukin 9 receptor (IL9R), transcript variant X2, mRNA
56629. PREDICTED: Bos taurus interleukin 9 receptor (IL9R), transcript variant X1, mRNA
56630. PREDICTED: Bos taurus interleukin 17 receptor E (IL17RE), transcript variant X6, mRNA
56631. PREDICTED: Bos taurus interleukin 17 receptor E (IL17RE), transcript variant X5, mRNA
56632. PREDICTED: Bos taurus interleukin 17 receptor E (IL17RE), transcript variant X4, mRNA
56633. PREDICTED: Bos taurus interleukin 17 receptor E (IL17RE), transcript variant X3, mRNA
56634. PREDICTED: Bos taurus interleukin 17 receptor E (IL17RE), transcript variant X2, mRNA
56635. PREDICTED: Bos taurus interleukin 17 receptor E (IL17RE), transcript variant X1, mRNA
56636. PREDICTED: Bos taurus interleukin 5 receptor subunit alpha (IL5RA), transcript variant X4, mRNA
56637. PREDICTED: Bos taurus interleukin 5 receptor subunit alpha (IL5RA), transcript variant X3, mRNA
56638. PREDICTED: Bos taurus interleukin 5 receptor subunit alpha (IL5RA), transcript variant X2, mRNA
56639. PREDICTED: Bos taurus interleukin 5 receptor subunit alpha (IL5RA), transcript variant X1, mRNA
56640. PREDICTED: Bos taurus interleukin 6 signal transducer (IL6ST), transcript variant X2, mRNA
56641. PREDICTED: Bos taurus interleukin 6 signal transducer (IL6ST), transcript variant X1, mRNA
56642. PREDICTED: Bos taurus interleukin 11 (IL11), mRNA
56643. PREDICTED: Bos taurus interleukin 4 induced 1 (IL4I1), transcript variant X5, mRNA
56644. PREDICTED: Bos taurus interleukin 4 induced 1 (IL4I1), transcript variant X4, mRNA
56645. PREDICTED: Bos taurus interleukin 4 induced 1 (IL4I1), transcript variant X3, mRNA
56646. PREDICTED: Bos taurus interleukin 4 induced 1 (IL4I1), transcript variant X2, mRNA
56647. PREDICTED: Bos taurus interleukin 4 induced 1 (IL4I1), transcript variant X1, mRNA
56648. PREDICTED: Bos taurus interleukin 19 (IL19), mRNA
56649. PREDICTED: Bos taurus interleukin 24 (IL24), mRNA
56650. PREDICTED: Bos taurus interleukin 20 (IL20), mRNA
56651. PREDICTED: Bos taurus interleukin 18 binding protein (IL18BP), mRNA
56652. PREDICTED: Bos taurus interleukin 15 receptor subunit alpha (IL15RA), transcript variant X4, mRNA
56653. PREDICTED: Bos taurus interleukin 15 receptor subunit alpha (IL15RA), transcript variant X3, mRNA
56654. PREDICTED: Bos taurus interleukin 15 receptor subunit alpha (IL15RA), transcript variant X2, mRNA
56655. PREDICTED: Bos taurus interleukin 15 receptor subunit alpha (IL15RA), transcript variant X1, mRNA
56656. PREDICTED: Bos taurus interleukin 17D (IL17D), transcript variant X8, mRNA
56657. PREDICTED: Bos taurus interleukin 17D (IL17D), transcript variant X7, mRNA
56658. PREDICTED: Bos taurus interleukin 17D (IL17D), transcript variant X6, mRNA
56659. PREDICTED: Bos taurus interleukin 17D (IL17D), transcript variant X4, mRNA
56660. PREDICTED: Bos taurus interleukin 17D (IL17D), transcript variant X3, mRNA
56661. PREDICTED: Bos taurus interleukin 17D (IL17D), transcript variant X1, mRNA
56662. PREDICTED: Bos taurus interleukin 37 (IL37), transcript variant X3, mRNA
56663. PREDICTED: Bos taurus interleukin 37 (IL37), transcript variant X2, mRNA
56664. PREDICTED: Bos taurus interleukin 37 (IL37), transcript variant X1, mRNA
56665. PREDICTED: Bos taurus interleukin 36 beta (IL36B), transcript variant X2, mRNA
56666. PREDICTED: Bos taurus interleukin 36 beta (IL36B), transcript variant X1, mRNA
56667. PREDICTED: Bos taurus interleukin 36, alpha (IL36A), transcript variant X4, mRNA
56668. PREDICTED: Bos taurus interleukin 36, alpha (IL36A), transcript variant X2, mRNA
56669. PREDICTED: Bos taurus interleukin 36, alpha (IL36A), transcript variant X1, mRNA
56670. PREDICTED: Bos taurus interleukin 36 gamma (IL36G), transcript variant X3, mRNA
56671. PREDICTED: Bos taurus interleukin 18 receptor accessory protein (IL18RAP), mRNA
56672. PREDICTED: Bos taurus interleukin 18 receptor 1 (IL18R1), transcript variant X3, mRNA
56673. PREDICTED: Bos taurus interleukin 18 receptor 1 (IL18R1), transcript variant X2, mRNA
56674. PREDICTED: Bos taurus interleukin 18 receptor 1 (IL18R1), transcript variant X1, mRNA
56675. PREDICTED: Bos taurus interleukin 25 (IL25), transcript variant X2, mRNA
56676. PREDICTED: Bos taurus interleukin 25 (IL25), transcript variant X1, mRNA
56687. PREDICTED: Bos taurus interleukin 36, alpha (IL36A), transcript variant X3, mRNA
56688. PREDICTED: Bos taurus interleukin 36 gamma (IL36G), transcript variant X2, mRNA
56689. PREDICTED: Bos taurus interleukin 36 gamma (IL36G), transcript variant X1, mRNA
63078. Bos taurus interleukin 20 receptor, alpha, mRNA (cDNA clone IMAGE:8472388), partial cds
